Gene_model,Gene_type,Description
AT5G40090,protein_coding,"Description: Disease resistance protein (TIR-NBS class);(source:Araport11), Other Name: CHL1;CHS1-LIKE 1;TIR-NBS18;TN18, Keywords: defense response;signal transduction;chloroplast;ADP binding;ATP hydrolysis activity;NAD+ nucleosidase activity, cyclic ADP-ribose generating;petal differentiation and expansion stage;flower;root;shoot apex,"
AT5G60390,protein_coding,"Description: Alpha subunit of the elongation factor-1 complex. Functions in catalytic delivery of aminoacyl tRNAs to the ribosome during protein synthesis., Other Name: EF1ALPHA, Keywords: translation;translational elongation;cytoplasm;mitochondrion;nucleus;perinuclear region of cytoplasm;plant-type vacuole;plasma membrane;plasmodesma;Golgi apparatus;cytosol;GTPase activity;mRNA binding;protein binding;translation elongation factor activity;L mature pollen stage;M germinated pollen stage;seed development stage;cotyledon;guard cell;juvenile vascular leaf;pollen;pollen tube cell;seed;pollen;cell-to-cell mobile RNA,"
AT5G14180,protein_coding,"Description: Myzus persicae-induced lipase 1;(source:Araport11), Other Name: MPL1;MYZUS PERSICAE-INDUCED LIPASE 1, Keywords: defense response to insect;lipid metabolic process;extracellular region;lipase activity;triacylglycerol lipase activity;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;collective leaf structure;flower;inflorescence meristem;petal;plant ovule;pollen;pollen tube cell,"
AT5G60480,protein_coding,"Description: homeobox protein 26;(source:Araport11), Other Name: AtHB26;HB26;ZHD12;ZINC FINGER HOMEODOMAIN 12;homeobox protein 26, Keywords: regulation of DNA-templated transcription;nucleus;nucleus;DNA binding;DNA-binding transcription factor activity;protein binding;protein homodimerization activity;transcription cis-regulatory region binding;flower,"
AT5G39520,protein_coding,"Description: Plastid localized transmembrane protein involved in ABA mediated leaf senescence and stomatal movement., Other Name: CHLOROPLAST-LOCALIZED SENESCENCE-ASSOCIATED PROTEIN;CSAP, Keywords: leaf senescence;response to abscisic acid;chloroplast;nucleus;protein binding;LP.04 four leaves visible stage;LP.06 six leaves visible stage;flowering stage;petal differentiation and expansion stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;petal;pollen;sepal;stamen;stem;vascular leaf,"
AT5G60740,protein_coding,"Description: ABC transporter family protein. Localizes to the growing tip of pollen tubes where it appears to be critical for localizing polyamines and reactive oxygen species., Other Name: ABCG28;ATP-binding cassette G28, Keywords: pollen tube growth;polyamine transport;transmembrane transport;transmembrane transport;membrane;pollen tube tip;secretory vesicle;ATPase-coupled transmembrane transporter activity;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;collective leaf structure;cotyledon;flower;petal;plant embryo;pollen;pollen tube cell;sepal;stamen,"
AT5G60440,protein_coding,"Description: AGL62 encodes a Type I MADS domain protein that likely functions as a transcription factor. It is expressed AGL62 is expressed exclusively in the endosperm. AGL62 supresses suppresses cellularization during the syncytial phase of endosperm development., Other Name: AGL62;Agamous-like 62, Keywords: endosperm development;regulation of auxin polar transport;regulation of transcription by RNA polymerase II;nucleus;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;protein binding;LP.04 four leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;endosperm;flower;guard cell;hypocotyl;inflorescence meristem;plant embryo;root;seed;sepal;shoot apex;stamen;stem;vascular leaf;antipodal cell;endosperm,"
AT5G39420,protein_coding,"Description: CDC2C;(source:Araport11), Other Name: CDC2C;cdc2cAt, Keywords: phosphorylation;positive regulation of transcription elongation by RNA polymerase II;nucleus;nucleus;cyclin-dependent protein kinase holoenzyme complex;ATP binding;RNA polymerase II CTD heptapeptide repeat kinase activity;protein kinase activity;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;collective leaf structure;flower;inflorescence meristem;petal;plant embryo;pollen;pollen tube cell;sepal;stamen,"
AT5G60660,protein_coding,"Description: A member of the plasma membrane intrinsic protein subfamily PIP2.When expressed in yeast cells can conduct hydrogen peroxide into those cells. Mutants exhibit longer root hairs., Other Name: PIP2;4;PIP2F;PLASMA MEMBRANE INTRINSIC PROTEIN 2;4, Keywords: hydrogen peroxide transmembrane transport;root hair elongation;transmembrane transport;water transport;plasma membrane;plasma membrane;plasmodesma;water channel activity;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;pollen;root;sepal;stamen;vascular leaf,"
AT5G57090,protein_coding,"Description: Encodes an auxin efflux carrier that is similar to bacterial membrane transporters. Root-specific role in the transport of auxin. Acts downstream of CTR1 and ethylene biosynthesis; in the same pathway as EIN2 and AUX1, and independent from EIN3 and EIN5/AIN1 pathway. In the root, the protein localizes apically in epidermal and lateral root cap cells and predominantly basally in cortical cells. Functions may be regulated by phosphorylation status. EIR1 expression is induced by brassinolide treatment in the brassinosteroid-insensitive br1 mutant. Gravistimulation results in asymmetric PIN2 distribution, with more protein degraded at the upper side of the gravistimulated root. Membrane sterol composition is essential for the acquisition of  PIN2 polarity. Its expression is downregulated at hypoxic conditions. RAP2.12 overexpression inhibits this downregulation., Other Name: AGR;AGR1;AGRAVITROPIC ROOT;AGRAVITROPIC ROOT 1;ARABIDOPSIS THALIANA PIN-FORMED 2;ATPIN2;EIR1;ETHYLENE INSENSITIVE ROOT 1;MM31;PIN-FORMED 2;PIN2;WAV6;WAVY ROOTS 6, Keywords: auxin export across the plasma membrane;auxin polar transport;positive gravitropism;response to auxin;response to ethylene;response to hypoxia;transmembrane transport;auxin export across the plasma membrane;auxin polar transport;response to glucose;endoplasmic reticulum;plasma membrane;basal part of cell;basal plasma membrane;chloroplast;lytic vacuole;plasma membrane;auxin efflux transmembrane transporter activity;identical protein binding;protein binding;protein homodimerization activity;primary root apical meristem;root;root hair cell;root tip;root tip,"
AT5G60750,protein_coding,"Description: Encodes a chloroplast endoproteinase; SNOWY COTYLEDON4 (SCO4), required for photosynthetic acclimation to higher light intensities., Other Name: SCO4;SNOWY COTYLEDON 4, Keywords: photosynthetic acclimation;CAAX-box protein processing;chloroplast;plasma membrane;metalloendopeptidase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT5G04990,protein_coding,"Description: Encodes a member of the Sad1/UNC-84 (SUN)-domain proteins: AtSUN1(At5g04990); AtSUN2(AT3G10730).  SUN domain proteins are part of the cytoskeletal-nucleoskeletal bridging complexes.  AtSUN1 and AtSUN2 are localized to the nuclear envelope and are present as homomers and heteromers in vivo.Encodes an outer nuclear membrane protein that anchors RanGAP1 to the nuclear envelope.  It interacts with WPP domain interacting-proteins (WIPs).  It is involved in maintaining the elongated nuclear shape of epidermal cells., Other Name: ARABIDOPSIS SAD1/UNC-84 DOMAIN PROTEIN 1;ATSUN1;SAD1/UNC-84 DOMAIN PROTEIN 1;SUN1, Keywords: nucleus organization;protein localization to nuclear envelope;meiotic attachment of telomere to nuclear envelope;nucleus organization;protein heterooligomerization;protein homooligomerization;protein localization to nuclear envelope;regulation of establishment or maintenance of cell polarity regulating cell shape;nuclear envelope;endoplasmic reticulum;endoplasmic reticulum membrane;nuclear envelope;nucleus;phragmoplast;protein binding;protein-membrane adaptor activity;cultured plant cell;guard cell;inflorescence;plant callus;vascular leaf,"
AT5G05020,protein_coding,"Description: Pollen Ole e 1 allergen and extensin family protein;(source:Araport11), Other Name: N/A, Keywords: biological_process;extracellular region;molecular_function,"
AT5G04970,protein_coding,"Description: Pectin methylesterase inhibitor; INVI-PMEI protein isoform which clustered with a PME., Other Name: PMEI-PME47, Keywords: cell wall modification;pectin catabolic process;chloroplast;pectinesterase activity;pectinesterase inhibitor activity;flower;root,"
AT5G60470,protein_coding,"Description: C2H2 and C2HC zinc fingers superfamily protein;(source:Araport11), Other Name: EGRET, Keywords: regulation of DNA-templated transcription;nucleus;nucleus;DNA-binding transcription factor activity;flowering stage;carpel;sepal;stamen;stem,"
AT5G05030,protein_coding,"Description: NEP-interacting protein; putative (DUF239);(source:Araport11), Other Name: N/A, Keywords: biological_process;extracellular region;molecular_function;petal differentiation and expansion stage;plant embryo cotyledonary stage;flower;seed,"
AT5G05070,protein_coding,"Description: S-acyl transferase involved in S-acylation in pollen tube guidance. Together with PAT1; PAT2, PAT4, and PAT8 referred to as PENTAPAT; loss of function of pentapat caused pollen tubes to have compromised directional growth. PENTAPAT interacts with PRK1 and LIP1., Other Name: PAT3, Keywords: protein targeting to membrane;Golgi apparatus;endoplasmic reticulum;mitochondrion;protein-cysteine S-palmitoyltransferase activity;L mature pollen stage;M germinated pollen stage;flowering stage;flower;pollen;pollen tube cell,"
AT5G04960,protein_coding,"Description: Encodes a protein that modulates the activity of pectin methylesterase within the cell wall; pectin methylesterase inhibitor., Other Name: PECTIN METHYLESTERASE46;PME46;PMEI-PME46, Keywords: regulation of cell wall pectin metabolic process;cell wall modification;pectin catabolic process;mitochondrion;pectinesterase activity;pectinesterase inhibitor activity;flower;root;root hair cell;trichoblast,"
AT5G05060,protein_coding,"Description: Cystatin/monellin superfamily protein;(source:Araport11), Other Name: N/A, Keywords: nucleus;molecular_function;L mature pollen stage;M germinated pollen stage;cultured plant cell;guard cell;pollen;pollen tube cell,"
AT5G39380,protein_coding,"Description: Plant calmodulin-binding protein-like protein;(source:Araport11), Other Name: N/A, Keywords: nucleus;plant-type vacuole;calmodulin binding;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;cultured plant cell;flower;guard cell;inflorescence meristem;plant sperm cell;pollen;pollen tube cell;root,"
AT5G38160,protein_coding,"Description: Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11), Other Name: N/A, Keywords: lipid transport;extracellular region;molecular_function;endosperm;pollen tube cell,"
AT5G43410,protein_coding,"Description: Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1; ATERF-2, AND ATERF-5. Expression of ERF96 is induced by pathogens, JA and ethylene and over expression leads to increased resistance to resistance to necrotrophic pathogens. It is a nuclear localized, transcriptional activator that binds to GCC elements that is involved in positive regulation of ABA responses., Other Name: ERF96;ETHYLENE RESPONSE FACTOR 96, Keywords: positive regulation of DNA-templated transcription;positive regulation of abscisic acid-activated signaling pathway;positive regulation of cellular defense response;stomatal closure;nucleus;DNA-binding transcription factor activity;sequence-specific DNA binding;flower;seed,"
AT5G51270,protein_coding,"Description: Plant U-box type E3 ubiquitin ligase (PUB)., Other Name: PUB53, Keywords: protein ubiquitination;nucleus;protein kinase activity;ubiquitin-protein transferase activity;petal differentiation and expansion stage;plant embryo globular stage;flower;plant embryo,"
AT5G64750,protein_coding,"Description: Encodes a putative transcription factor containing an AP2 domain. Is a member of the ERF (ethylene response factor) subfamily B-4 of ERF/AP2 transcription factor family.  Expressed in response to ABA; osmotic stress, sugar stress and drought. Mutants are hypersensitive to these stresses. May be involved in regulation of ABA mediated stress response. The mRNA is cell-to-cell mobile., Other Name: ABA REPRESSOR1;ABR1;ERF111, Keywords: defense response to fungus;negative regulation of abscisic acid-activated signaling pathway;response to abscisic acid;response to glucose;response to osmotic stress;root regeneration;regulation of DNA-templated transcription;response to abscisic acid;response to salt;nucleus;DNA-binding transcription factor activity;guard cell;cell-to-cell mobile RNA,"
AT5G51190,protein_coding,"Description: encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1; ATERF-2, AND ATERF-5. Involved in regulating root architecture and the response to cold stress., Other Name: ERF105;ETHYLENE RESPONSE FACTOR 105, Keywords: response to heat;regulation of DNA-templated transcription;nucleus;DNA-binding transcription factor activity;transcription cis-regulatory region binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;stamen;stem;vascular leaf,"
AT5G43340,protein_coding,"Description: Encodes Pht1;6; a member of the Pht1 family of phosphate transporters which include: Pht1;1/At5g43350, Pht1;2/At5g43370, Pht1;3/At5g43360, Pht1;4/At2g38940, Pht1;5/At2g32830, Pht1;6/At5g43340, Pht1;7/At3g54700, Pht1;8/At1g20860, Pht1;9/At1g76430 (Plant Journal 2002, 31:341)., Other Name: PHOSPHATE TRANSPORTER 1;6;PHOSPHATE TRANSPORTER 6;PHT1;6;PHT6, Keywords: transmembrane transport;transmembrane transport;chloroplast;phosphate transmembrane transporter activity;petal differentiation and expansion stage;collective leaf structure;flower;sepal,"
AT5G12180,protein_coding,"Description: member of Calcium Dependent Protein Kinase; highly promiscuous with 105 candidate target proteins., Other Name: CALCIUM-DEPENDENT PROTEIN KINASE 17;CPK17, Keywords: protein autophosphorylation;regulation of pollen tube growth;intracellular signal transduction;cytoplasm;nucleus;cytoplasm;plasma membrane;calcium-dependent protein serine/threonine kinase activity;calcium/calmodulin-dependent protein kinase activity;calmodulin binding;protein serine/threonine kinase activity;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;collective leaf structure;flower;petal;plant embryo;pollen;pollen tube cell;sepal;stamen,"
AT5G51310,protein_coding,"Description: Mutants exhibit longer root hairs under phosphate-deficient conditions., Other Name: N/A, Keywords: gibberellin biosynthetic process;root hair elongation;cellular_component;2-oxoglutarate-dependent dioxygenase activity;root,"
AT5G51230,protein_coding,"Description: Polycomb group protein with zinc finger domain involved in negative regulation of reproductive development. Forms a complex with FIE; CLF, and MSI1. This complex modulates the expression of target genes including AG, PI and AP3., Other Name: AtEMF2;CYR1;CYTOKININ RESISTANT 1;EMBRYONIC FLOWER 2;EMF2;VEF2, Keywords: epigenetic programming in the endosperm;negative regulation of flower development;nucleus;nucleus;DNA binding;DNA-binding transcription factor activity;chromatin DNA binding;protein binding;transcription cis-regulatory region binding;transcription corepressor binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;flower;flower meristem;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant egg cell;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;vascular leaf primordium,"
AT5G38280,protein_coding,"Description: putative receptor serine/threonine kinase PR5K (PR5K) mRNA;  PR5-like receptor kinase, Other Name: PR5-LIKE RECEPTOR KINASE;PR5K, Keywords: response to fungus;extracellular region;plasmodesma;kinase activity;protein kinase activity;transmembrane receptor protein serine/threonine kinase activity;petal differentiation and expansion stage;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;root;stem,"
AT5G22430,protein_coding,"Description: Pollen Ole e 1 allergen and extensin family protein;(source:Araport11), Other Name: N/A, Keywords: membrane;molecular_function;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;flower;flower pedicel;petal;plant embryo;pollen;seed;sepal;shoot apex;stamen;vascular leaf;cell-to-cell mobile RNA,"
AT5G22410,protein_coding,"Description: root hair specific 18;(source:Araport11), Other Name: RHS18;ROOT HAIR SPECIFIC 18, Keywords: response to stress;plant-type cell wall;extracellular region;peroxidase activity;root;root hair cell;synergid;trichoblast;root hair cell,"
AT5G17690,protein_coding,"Description: Regulates the meristem response to light signals and the maintenance of inflorescence meristem identity. Influences developmental processes controlled by APETALA1. TFL2 silences specific  genes within euchromatin but not genes positioned in heterochromatin. TFL2 protein localized preferentially to euchromatic  regions and not to heterochromatic chromocenters. Involved in euchromatin organization. Required for epigenetic maintenance of the vernalized state., Other Name: AtLHP1;LHP1;LIKE HETEROCHROMATIN PROTEIN 1;TERMINAL FLOWER 2;TFL2, Keywords: chromatin organization;multidimensional cell growth;negative regulation of flower development;negative regulation of gene expression, epigenetic;photoperiodism;photoperiodism, flowering;shoot system morphogenesis;vernalization response;heterochromatin formation;negative regulation of DNA-templated transcription;response to sucrose;root development;chloroplast;euchromatin;heterochromatin;nucleus;DNA binding;GTP cyclohydrolase II activity;RNA binding;chromatin binding;identical protein binding;methylated histone binding;protein binding;sequence-specific DNA binding;3,4-dihydroxy-2-butanone-4-phosphate synthase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT5G22420,protein_coding,"Description: fatty acid reductase 7;(source:Araport11), Other Name: FAR7;FATTY ACID REDUCTASE 7, Keywords: long-chain fatty-acyl-CoA metabolic process;suberin biosynthetic process;intracellular membrane-bounded organelle;chloroplast;nucleus;alcohol-forming very long-chain fatty acyl-CoA reductase activity;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;flower;petal;plant embryo;sepal;stamen,"
AT5G41370,protein_coding,"Description: Encodes XPB1; a DNA repair protein and transcription factor.  Arabidopsis thaliana has duplicated XPB gene (AtXPB1 and AtXPB2, with high similarity to each other). XPB proteins are involved in both DNA repair and transcription, they are component of the transcription factor IIH (TFIIH) and are responsible for DNA helicase activity during nucleotide (nt) excision repair (NER). Complementation assays in yeast rad25 mutant strains suggest the involvement of AtXPB2 in DNA repair. Although both genes are expressed in a constitutive manner during the plant life cycle, Northern blot analyses suggest that light modulates the expression level of both XPB copies. The mRNA is cell-to-cell mobile., Other Name: ARABIDOPSIS HOMOLOG OF XERODERMA PIGMENTOSUM COMPLEMENTATION GROUP B 1;ATXPB1;XPB1;homolog of xeroderma pigmentosum complementation group B 1, Keywords: response to UV;response to toxic substance;transcription initiation at RNA polymerase II promoter;cytoplasm;nucleus;nucleotide-excision repair factor 3 complex;transcription factor TFIIH holo complex;transcription preinitiation complex;3'-5' DNA helicase activity;DNA helicase activity;L mature pollen stage;M germinated pollen stage;seedling development stage;cotyledon vascular system;guard cell;pollen;pollen tube cell;root tip;shoot apex;trichome cell;whole plant;cell-to-cell mobile RNA,"
AT5G41410,protein_coding,"Description: Homeodomain protein required for ovule identity.Loss of function mutations show homeotic conversion of integuments to carpels.Forms heterodimers with STM and KNAT1. Interacts with AG-SEP heterodimers is thought to restrict WUS expression. BEL interacts with MADS box dimers composed of SEP1(or SEP3) and AG; SHP1, SHP2 and STK. The interaction of BEL1 with AG-SEP3 is required for proper integument development and specification of integument identity., Other Name: BEL1;BELL 1, Keywords: plant ovule development;regulation of DNA-templated transcription;nucleus;cytosol;nucleus;plasmodesma;DNA-binding transcription factor activity;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;ovule primordium;petal;petiole;plant embryo;plant ovule;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT5G39020,protein_coding,"Description: Involved in growth adaptation upon exposure to metal ions. Contributes together with the other MDS genes to the complex network of CrRLK1Ls that positively and negatively affect growth., Other Name: MDS3;MEDOS 3, Keywords: phosphorylation;response to metal ion;chloroplast;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petiole;root;sepal;stamen;stem;vascular leaf,"
AT5G64960,protein_coding,"Description: Encodes CDKC;2; part of a CDKC kinase complex that is targeted by Cauliflower mosaic virus (CaMV) for transcriptional activation of viral genes.  Also regulates plant growth and development. Co-localizes with spliceosomal components in a manner dependent on the transcriptional status of the cells and on CDKC2-kinase activity. Expression of CDKC2 modifies the location of spliceosomal components., Other Name: CDKC2;CDKC;2;Cyclin-dependent kinase C;2;cyclin dependent kinase group C2, Keywords: carpel development;flower development;leaf development;mRNA processing;regulation of viral process;response to virus;response to water deprivation;positive regulation of transcription elongation by RNA polymerase II;nucleus;nuclear body;nucleus;cyclin-dependent protein kinase holoenzyme complex;RNA polymerase II CTD heptapeptide repeat kinase activity;kinase activity;protein binding;LP.04 four leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT5G35770,protein_coding,"Description: A recessive mutation in the Arabidopsis STERILE APETALA (SAP) causes severe aberrations in inflorescence  and flower and ovule development., Other Name: SAP;STERILE APETALA, Keywords: flower development;megasporogenesis;positive regulation of organ growth;protein catabolic process;nucleus;DNA-binding transcription factor activity;protein binding;inflorescence emergence stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;seedling development stage;flower;fruit;ovule primordium;petal primordium;plant embryo;seed;shoot apex,"
AT5G38390,protein_coding,"Description: F-box/RNI-like superfamily protein;(source:Araport11), Other Name: N/A, Keywords: biological_process;cellular_component;molecular_function;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;collective leaf structure;flower;petal;pollen,"
AT5G38440,protein_coding,"Description: Plant self-incompatibility protein S1 family;(source:Araport11), Other Name: S-PROTEIN HOMOLOG 9;SPH9, Keywords: biological_process;extracellular region;molecular_function;LP.04 four leaves visible stage;LP.06 six leaves visible stage;flowering stage;plant embryo bilateral stage;plant embryo globular stage;hypocotyl;leaf lamina base;petal;plant embryo;pollen tube cell;root;stem;vascular leaf,"
AT5G38450,protein_coding,"Description: cytochrome P450; family 735, subfamily A, polypeptide 1;(source:Araport11), Other Name: CYP735A1;cytochrome P450, family 735, subfamily A, polypeptide 1, Keywords: trans-zeatin biosynthetic process;secretory vesicle;monooxygenase activity;M germinated pollen stage;pollen;pollen tube cell;root;rosette leaf,"
AT5G35700,protein_coding,"Description: Encodes FIMBRIN5; an actin bundling factor required for pollen germination and pollen tube growth. Different members of the fimbrin/plastin family have diverged biochemically during evolution to generate either tight actin bundles or loose networks with distinct biochemical and biophysical properties. FIM4 generates both actin bundles and branched actin filaments whereas FIM5 only generates actin bundles., Other Name: FIM2;FIM5;FIMBRIN-LIKE PROTEIN 2;FIMBRIN5, Keywords: actin cytoskeleton organization;actin filament bundle assembly;pollen germination;pollen tube growth;actin filament bundle assembly;actin filament network formation;actin filament;actin filament bundle;cytoplasm;actin filament binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT5G38470,protein_coding,"Description: Encodes a member of the RADIATION SENSITIVE23 (RAD23) family: AT1G16190(RAD23A); AT1G79650(RAD23B), AT3G02540(RAD23C), AT5G38470(RAD23D). RAD23 proteins play an essential role in the cell cycle, morphology, and fertility of plants through their delivery of UPS (ubiquitin/26S proteasome system) substrates to the 26S proteasome., Other Name: RAD23D;RADIATION SENSITIVE23D, Keywords: response to cold;nucleotide-excision repair;proteasome-mediated ubiquitin-dependent protein catabolic process;cytosol;nucleoplasm;cytoplasm;cytosol;nucleus;plastid;polyubiquitin modification-dependent protein binding;proteasome binding;ubiquitin binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seed development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT5G39030,protein_coding,"Description: Involved in growth adaptation upon exposure to metal ions. Contributes together with the other MDS genes to the complex network of CrRLK1Ls that positively and negatively affect growth., Other Name: MDS4;MEDOS 4, Keywords: phosphorylation;response to metal ion;nucleus;kinase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf;leaf apex;leaf lamina base;petiole;rosette;sepal;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
